Name,Latitude,Longitude,Description
HOTSPOT48,25.80967,-80.09050000000001,BOTTOM FISH OR LIVE LINE DRIFT SCATTERED GOOD BOTTOM
HOTSPOT49,25.80975,-80.09078,DRIFT OR BOTTOM FISH LIVE AND CUT BAIT
HOTSPOT51,25.81293,-80.09117000000001,DRIFT OR BOTTOM FISH LIVE AND CUT BAIT
HOTSPOT53,25.80163,-80.08552,DRIFT OR BOTTOM FISH LIVE AND CUT BAIT
HOTSPOT54,25.81292,-80.08918,DRIFT OR BOTTOM FISH LIVE AND CUT BAIT
HOTSPOT57,25.80303,-80.08345,DRIFT OR BOTTOM FISH LIVE AND CUT BAIT
HOUSEBOAT,25.669067,-80.070267,40 FT STEEL BOAT
I BEAMS,25.79635,-80.0799,I BEAMS GIRDERS
JohnloydPark,26.081239,-80.11259699999999,BOAT RAMP
JOSEQUERVO,25.76887,-80.12820000000001,WRECK
KARLEENWRECK,25.81285,-80.08908,WRECK INSIDE ANCHORAGE
KARLINWRK,25.81285,-80.089083,
KINGFISH1,25.425391,-80.124765,TOURNAMENT KINGFISH SPOT
KINGFISH2,25.42465,-80.12436700000001,
LAKELANDWRECK,25.667783,-80.0835,200 FT STEEL SHIP
LANDINGCRAFT2,25.784483,-80.04988299999999,150 FT STEEL LANDING CRAFT
LANDSENDWRECKS,25.77595000000001,-80.074067,WRECKS ON BOTTOM HOLDS BOTTOM FISH AND BAIT
LARSONBARGE,25.81167,-80.09083,65 FT STEEL BARGE WRECK
LEDBURYREEF2,25.54619,-80.09871,CHUM FOR SNAPPER GROUPER KINGS
LEDGE W,26.061048,-80.097353,LEDGE TOP EXCELLENT BOTTOM FISHING LIVE LINING
LEDGE003,26.015,-80.101,ledge for bottom fishing good
LEDGE004,26.025,-80.09399999999999,good coral ditch holds bottom fish chum heavy
LEDGE005,26.019,-80.09999999999999,drainage pipe with ledges around it
LEDGE006,26.01,-80.101,ledge very good
LEDGE007,25.999,-80.096,good ledge bottom fish
LEDGE008,25.997,-80.102,cut ledge good bottom fishing
LEDGE009,25.993,-80.102,ledge series excellent
LEDGE010,25.986,-80.102,rock mound good
LEDGE011,25.984,-80.09399999999999,dip ledge with mounds excellent fishing
LEDGE012,25.986,-80.09399999999999,end of the drop out ledge good fishing
LEDGE014,25.974,-80.10299999999999,hole with ledge good bottom fish
LEDGE015,25.948783,-80.092209,ledge series snapper grouper and other bottom fish
LEDGE016,25.936436,-80.09715,ledge series snapper grouper and other bottom fish
LEDGE017,26.061616,-80.086968,LEDGE POINT EXCELLENT BOTTOM FISHING TROLLING LIVE LINING
LEDGE018,26.055579,-80.091898,LEDGE SERIES WITH GOOD BOTTOM FISHING TROLLING LIVE LINING
LEDGE019,26.065429,-80.08644700000001,LEDGE SERIES WITH GOOD BOTTOM FISHING TROLLING LIVE LINING
LEDGE020,26.074,-80.092,DROP LEDGE AND PATCH SUPERB FISHING
LEDGE021,26.075,-80.086,LEDGE SERIES WITH GOOD BOTTOM FISHING TROLLING LIVE LINING
LEDGE022,26.079291,-80.079981,LEDGE GROUPER
LEDGE023,25.944026,-80.088255,ledge series snapper grouper and other bottom fish
LEDGE024,26.07439,-80.08347600000001,BOTTOM FISH OR LIVE LINE FOR VARIETY TOP AND BOTTOM
LEDGE025,26.081439,-80.08385300000001,BOTTOM FISH OR LIVE LINE FOR VARIETY TOP AND BOTTOM
LEDGE026,26.077,-80.08,MINI LEDGES GOOD BOTTOM FISHING
LEDGE027,26.076,-80.08,ROCKY LEDGES GOOD BOTTOM
LEDGE028,26.06506600000001,-80.074263,DRIFT OR BOTTOM FISH ALONG LEDGE SLOPE
LEDGE029,26.060772,-80.080669,DEEP SLOPING LEDGE DRIFT BOTTOM FISH AND LIVE LINE
LEDGE030,26.08562,-80.085284,DRIFT BOTTOM FISH AND LIVE LINE
LEDGE031,25.95445,-80.088379,ledge series snapper grouper and other bottom fish
LEDGE032,25.958498,-80.09863300000001,ledge series snapper grouper and other bottom fish
